wavelength_um transit_depth
3.153361945636624419e+00 2.902667491871719144e-02
3.159942775393419723e+00 2.864886111897383542e-02
3.166523605150215026e+00 2.555886433904421343e-02
3.173104434907010329e+00 2.794966102573566424e-02
3.179685264663806077e+00 2.692100682055574568e-02
3.186266094420601380e+00 2.612714780037193874e-02
3.192846924177396684e+00 2.607055206681790221e-02
3.199427753934191987e+00 2.862453811686061292e-02
3.206008583690987734e+00 2.750663899901832285e-02
3.212589413447783038e+00 2.898954180578328099e-02
3.219170243204578341e+00 2.629127987164980168e-02
3.225751072961374089e+00 2.544998610947798653e-02
3.232331902718169392e+00 2.863271597297275747e-02
3.238912732474964695e+00 2.609857283670883460e-02
3.245493562231759999e+00 2.582199373095668549e-02
3.252074391988555746e+00 2.818150616901443292e-02
3.258655221745351049e+00 2.667871372130722549e-02
3.265236051502146353e+00 2.669812387544900564e-02
3.271816881258941656e+00 2.648054656920378197e-02
3.278397711015737404e+00 2.669913941442788805e-02
3.284978540772532707e+00 2.825155681939522240e-02
3.291559370529328010e+00 2.488458179803808637e-02
3.298140200286123758e+00 2.670124346890308600e-02
3.304721030042919061e+00 2.556351247654947353e-02
3.311301859799714364e+00 2.742948070788361892e-02
3.317882689556509668e+00 2.546527033300165915e-02
3.324463519313305415e+00 2.639322154549119878e-02
3.331044349070100719e+00 2.668256827942075068e-02
3.337625178826896022e+00 2.519433654090202923e-02
3.344206008583691325e+00 2.571800166630814483e-02
3.350786838340487073e+00 2.811796730148539633e-02
3.357367668097282376e+00 2.767219360792624872e-02
3.363948497854077679e+00 2.640944841611189697e-02
3.370529327610872983e+00 2.893785774170100009e-02
3.377110157367668730e+00 2.635932217352295048e-02
3.383690987124464034e+00 2.737988421955109969e-02
3.390271816881259337e+00 2.740720687899297903e-02
3.396852646638055084e+00 2.675771053718948092e-02
3.403433476394850388e+00 2.550169028458225060e-02
3.410014306151645691e+00 2.519843520732965858e-02
3.416595135908440994e+00 2.686879435859374637e-02
3.423175965665236742e+00 2.543291367131565034e-02
3.429756795422032045e+00 2.619367509477913206e-02
3.436337625178827349e+00 2.747209491503337792e-02
3.442918454935622652e+00 2.809340316045976643e-02
3.449499284692418399e+00 2.535281876695633443e-02
3.456080114449213703e+00 2.739732571355327218e-02
3.462660944206009006e+00 2.668483265758586978e-02
3.469241773962804753e+00 2.649848163973178919e-02
3.475822603719600057e+00 2.624070980993352051e-02
3.482403433476395360e+00 2.715338771152305680e-02
3.488984263233190664e+00 2.637456204178847616e-02
3.495565092989986411e+00 2.583949659545121263e-02
3.502145922746781714e+00 2.622795477352988375e-02
3.508726752503577018e+00 2.614560568981858651e-02
3.515307582260372321e+00 2.733095482388265413e-02
3.521888412017168069e+00 2.697428981471003059e-02
3.528469241773963372e+00 2.605325350679379634e-02
3.535050071530758675e+00 2.680323615801184778e-02
3.541630901287553979e+00 2.696483261317428673e-02
3.548211731044349726e+00 2.586581543246673984e-02
3.554792560801145029e+00 2.746219025593973559e-02
3.561373390557940333e+00 2.703725112243510892e-02
3.567954220314736080e+00 2.608315019079460867e-02
3.574535050071531384e+00 2.552005895873092622e-02
3.581115879828326687e+00 2.614996510436065971e-02
3.587696709585121990e+00 2.519088720159451053e-02
3.594277539341917738e+00 2.759301435578383546e-02
3.600858369098713041e+00 2.941346992025755183e-02
3.607439198855508344e+00 2.580610689065685262e-02
3.614020028612303648e+00 2.551055105979029708e-02
3.620600858369099395e+00 2.595800128257447908e-02
3.627181688125894699e+00 2.678672458276683266e-02
3.633762517882690002e+00 2.628441482029523352e-02
3.640343347639485749e+00 2.717000278859044160e-02
3.646924177396281053e+00 2.551849222956356633e-02
3.653505007153076356e+00 2.633121353228921879e-02
