# t0 per a inc rp u1 u2 c0 c1
2.459771335711902939e+06 4.045477215983190433e+00 1.180107195090795535e+01 8.849727746443272736e+01 1.430301439923383766e-01 -1.309335281421157848e-01 8.271760309683913182e-01 9.999729631569690413e-01 -4.890713651889221081e-03
2.459771335753600113e+06 4.058130904712727194e+00 1.094138154628895876e+01 8.720423962041776633e+01 1.493179271803457830e-01 2.045284710353593161e-01 -1.100433391682171802e-01 9.999694910462679776e-01 -4.633566650123953357e-03
2.459771335215596948e+06 4.053371825098336600e+00 1.156114454611042675e+01 8.809173954247557958e+01 1.446882239734072761e-01 1.889040560097499100e-01 1.185117877898040906e-01 9.997969379311688609e-01 -4.526289305059160405e-03
2.459771335555564612e+06 4.048817920845771745e+00 1.169163404052487820e+01 8.808383087742764417e+01 1.463315428706122578e-01 1.854129243884868050e-01 6.156431858549116232e-02 1.000140449464892445e+00 -5.830628538090547840e-03
2.459771335660235491e+06 4.047342899507802017e+00 1.157496002318880279e+01 8.803453981462801892e+01 1.459146156345862977e-01 -3.133670985134275888e-01 7.989516466594200894e-01 9.997339420689924649e-01 -5.265384686708360004e-03
2.459771335375814233e+06 4.055699423314331753e+00 1.174873893048096463e+01 8.829879688389652870e+01 1.450575667911596367e-01 -1.048559492143319449e-01 6.690690512814725377e-01 1.000029445867537170e+00 -5.162605351236695776e-03
2.459771335966832004e+06 4.048015544289381928e+00 1.135808684225625420e+01 8.771485825577046569e+01 1.474578090173417344e-01 5.806120993398861119e-03 2.892412713774340505e-01 1.000071740556920830e+00 -3.447433876308201098e-03
2.459771335863369983e+06 4.063925205955607467e+00 1.117616505886349820e+01 8.753906483016208995e+01 1.455718901372254070e-01 2.092581715352832272e-01 1.554674840033341554e-01 9.998937564278134182e-01 -3.561411406384014117e-03
2.459771335443479009e+06 4.049183874862075427e+00 1.184295038570212988e+01 8.844445988504705269e+01 1.436180201276980317e-01 -1.922772311148440161e-01 8.776881277719954522e-01 9.998887142676436968e-01 -5.194298375103710216e-03
2.459771335303718690e+06 4.049406140490720674e+00 1.159792748925430139e+01 8.805588494179181680e+01 1.449437975492067210e-01 1.070342438694804610e-03 4.676078964042049146e-01 9.998487670275287842e-01 -6.040289052908504736e-03
2.459771335520898458e+06 4.054329222322862414e+00 1.154962782748150474e+01 8.786806116788061161e+01 1.482618398446426677e-01 3.115688125311725787e-01 -1.923723932274794546e-01 9.999830351497661640e-01 -2.774873840170602544e-03
2.459771335579401813e+06 4.045161918624224029e+00 1.093196705621718756e+01 8.720421013708363489e+01 1.516640101780345751e-01 6.118314330151840563e-01 -6.770081990359411162e-01 1.000125477484119285e+00 -4.383332202348644985e-03
2.459771335804586764e+06 4.055643549421868777e+00 1.135965500734474176e+01 8.801053874238098729e+01 1.426586884738668959e-01 -2.347594769055703079e-01 9.713562316654511530e-01 9.998932420560504575e-01 -4.132281577933157729e-03
2.459771335722997319e+06 4.058684870672173872e+00 1.139219904608553513e+01 8.788087466843319362e+01 1.457938467625287948e-01 -1.287679665829413733e-01 6.394187705477031303e-01 9.998954469384691013e-01 -4.337137495080901212e-03
2.459771335428465623e+06 4.056097100974893621e+00 1.139229945611879025e+01 8.772634671523303496e+01 1.481992669220063563e-01 2.724628971589485582e-01 -9.448234689881082615e-02 9.999361210958891411e-01 -5.143889476078666520e-03
2.459771335364735685e+06 4.056797638839712228e+00 1.068712591974099269e+01 8.719269845004380670e+01 1.465670965072491394e-01 -1.771999339925283690e-01 6.416733013139954700e-01 9.999990803507400328e-01 -4.666550885635598923e-03
2.459771335405683611e+06 4.054271893851089992e+00 1.092952946141855541e+01 8.744471959257435856e+01 1.453157207422055008e-01 -2.124061660962159315e-01 7.468318992411310253e-01 9.998490975424771943e-01 -4.648737198720670136e-03
2.459771335559304804e+06 4.054284574971920740e+00 1.136574632872572543e+01 8.777765568751974001e+01 1.465412058248809490e-01 1.185723056045803470e-01 2.156428355578719203e-01 9.999000323682448732e-01 -5.639015769296137903e-03
2.459771335945512634e+06 4.061856685430317526e+00 1.135010437518851667e+01 8.782886529243533857e+01 1.446687962987385778e-01 1.192917476467438009e-01 3.377104325672762863e-01 9.998653027851091002e-01 -5.261907836127487255e-03
2.459771335533953272e+06 4.062856088327703397e+00 1.093124091645266205e+01 8.726742867270300508e+01 1.490847714213008879e-01 2.443934618453670882e-01 -5.922625236908541507e-02 1.000074155254128794e+00 -5.223175382157263340e-03
2.459771335699556861e+06 4.058488990345436420e+00 1.134039288345709373e+01 8.762975498310289879e+01 1.481695631039598449e-01 1.106015339695405886e-01 1.213295360717946414e-01 1.000026199974631158e+00 -4.639966091865357911e-03
2.459771335527925752e+06 4.058963775777157501e+00 1.143712937456521317e+01 8.792430719935148886e+01 1.451860883877024999e-01 -2.140455768845965223e-01 7.086740423507414954e-01 1.000026717731633319e+00 -5.300789913287753778e-03
2.459771335715753958e+06 4.052577006181175889e+00 1.147119024984043811e+01 8.777983583085604380e+01 1.472876259341932836e-01 3.323613936831112392e-01 -1.821359136259013689e-01 9.999973735929382768e-01 -4.491731697975919792e-03
